School_name,city,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
International Commerce High School - Tempe,Tempe,85282,0,0,0,1,5,0,253,24,9.49,163,64.43,16,6.32,33,13.04,10,10.0,0,0.0,10,10.0,3.17,7.71,17.23,34.6,81.38,0.0,1.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Ironwood High School,Glendale,85304,0,0,1,1,5,0,1922,131,6.82,825,42.92,10,10.0,756,39.33,103,5.36,84,4.37,10,10.0,19.05,10.0,2.13,20.0,99.51,258.0,671.0,5.0,0.0, 411.09, 6035.92, 278.10, 760.67, 7485.79,0,0,0,0,0
James Madison Preparatory School,Tempe,85283,0,0,1,1,3,0,156,10,10.0,36,23.08,10,10.0,98,62.82,10,10.0,10,10.0,10,10.0,13.96,10.0,0.0,0.0,98.6,5.0,40.0,0.0,2.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Jefferson Preparatory High School,Glendale,85306,0,0,0,1,5,0,57,10,10.0,10,10.0,0,0.0,33,57.9,10,10.0,10,10.0,10,10.0,25.89,8.84,3.15,16.0,96.15,0.0,8.0,0.0,0.0, 0.00, 15774.08, 0.00, 652.30, 16426.38,0,0,0,0,0
Keystone Montessori Charter School,Phoenix,85048,1,1,1,1,4,0,177,10,10.0,57,32.2,0,0.0,86,48.59,12,6.78,12,6.78,10,10.0,22.98,8.84,0.0,20.1,100.0,0.0,23.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Kino Junior High School,Mesa,85203,0,0,1,0,2,1,915,46,5.03,702,76.72,62,6.78,79,8.63,10,10.0,0,0.0,10,10.0,5.61,8.84,0.0,20.1,96.36,0.0,587.0,67.0,9.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
La Joya Community High School,Avondale,85353,0,0,0,1,4,1,2078,188,9.05,1694,81.52,22,1.06,98,4.72,50,2.41,10,10.0,10,10.0,11.72,10.0,3.55,16.0,97.29,1702.0,1148.0,81.0,0.0, 843.99, 8016.18, 91.63, 849.17, 9800.96,0,0,0,0,0
Leading Edge Academy Gilbert Early College,Gilbert,85233,0,0,0,1,4,1,219,20,9.13,66,30.14,10,10.0,112,51.14,12,5.48,10,10.0,10,10.0,18.81,10.0,12.69,16.2,100.0,0.0,59.0,0.0,0.0, 389.75, 5430.41, 605.09, 3697.87, 10123.13,1,1,1,1,1
Learning Foundation,Mesa,85203,1,1,1,1,2,1,190,18,9.47,111,58.42,10,10.0,44,23.16,15,7.89,10,10.0,0,0.0,9.72,8.84,0.0,20.1,94.35,0.0,25.0,7.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Learning Foundation and Performing Arts Gilbert,Gilbert,85296,0,0,1,1,4,1,396,61,15.4,108,27.27,10,10.0,183,46.21,36,9.09,10,10.0,10,10.0,13.38,10.0,0.92,1.7,99.46,0.0,173.0,0.0,1.0, 956.42, 10220.32, 186.47, 3224.57, 14587.77,0,0,0,0,0
Madison Highland Prep,Phoenix,85014,0,0,0,1,5,1,456,19,4.17,240,52.63,10,10.0,157,34.43,21,4.61,10,10.0,10,10.0,22.89,10.0,0.0,20.0,100.0,132.0,38.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Marcos De Niza High School,Tempe,85283,0,0,0,1,4,1,1517,145,9.56,825,54.38,177,11.67,262,17.27,63,4.15,35,2.31,10,10.0,14.76,9.95,3.92,16.9,95.23,153.0,651.0,85.0,0.0, 642.00, 8310.32, 191.91, 512.80, 9657.02,0,0,0,0,0
Maryvale High School,Phoenix,85033,0,0,0,1,3,1,2795,122,4.37,2549,91.2,23,0.82,63,2.25,22,0.79,10,10.0,10,10.0,7.1,9.46,4.45,15.0,95.92,291.0,1030.0,24.0,0.0, 521.58, 7780.14, 49.51, 186.21, 8537.44,1,1,1,1,1
Mcclintock High School,Tempe,85282,0,0,0,1,5,1,1947,267,13.71,945,48.54,89,4.57,469,24.09,98,5.03,45,2.31,34,1.75,19.26,10.0,3.66,19.0,97.73,182.0,787.0,74.0,0.0, 361.71, 7148.69, 119.96, 507.68, 8138.04,1,1,1,1,1
Mesa Academy for Advanced Studies,Mesa,85207,0,1,1,1,5,0,409,10,10.0,86,21.03,10,10.0,275,67.24,24,5.87,11,2.69,0,0.0,30.0,8.84,0.0,20.1,100.0,0.0,33.0,6.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Mesa Distance Learning Program,Mesa,85203,1,1,1,1,3,0,107,10,10.0,38,35.51,10,10.0,58,54.21,10,10.0,10,10.0,0,0.0,21.42,0.0,12.78,20.1,86.6,0.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Mesa High School,Mesa,85204,0,0,0,1,4,0,3475,142,4.09,2417,69.55,68,1.96,744,21.41,67,1.93,16,0.46,21,0.6,11.8,9.66,5.98,17.0,98.18,701.0,1863.0,50.0,1.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Mesquite High School,Gilbert,85233,0,0,1,1,4,0,1425,82,5.75,563,39.51,10,10.0,611,42.88,83,5.83,50,3.51,10,10.0,17.77,10.0,3.54,18.7,96.97,367.0,659.0,25.0,2.0, 178.17, 6691.29, 23.30, 309.20, 7201.96,0,0,0,0,0
Mesquite Jr High School,Gilbert,85233,0,0,1,0,3,0,807,47,5.82,351,43.49,22,2.73,325,40.27,46,5.7,10,10.0,10,10.0,13.9,8.84,0.0,20.1,100.0,0.0,404.0,58.0,6.0, 637.55, 6858.95, 485.52, 283.66, 8265.69,1,1,1,1,1
Metro Tech High School,Phoenix,85015,0,0,0,1,5,1,1804,23,1.27,1735,96.17,10,10.0,29,1.61,0,0.0,10,10.0,0,0.0,16.14,10.0,0.28,20.0,99.2,221.0,164.0,4.0,0.0, 597.81, 8631.97, 225.29, 711.50, 10166.56,1,1,1,1,1
Metropolitan Arts Institute,Phoenix,85007,0,0,1,1,4,0,250,19,7.6,109,43.6,10,10.0,99,39.6,15,6.0,10,10.0,10,10.0,19.52,10.0,0.0,14.0,100.0,0.0,58.0,4.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Millennium High School,Goodyear,85395,0,0,0,1,5,0,2121,196,9.24,850,40.08,34,1.6,768,36.21,118,5.56,145,6.84,10,10.0,21.89,10.0,1.05,18.3,99.14,549.0,509.0,40.0,8.0, 592.50, 7934.03, 79.54, 1097.73, 9703.80,0,0,0,0,0
Moon Valley High School,Phoenix,85029,0,0,0,1,4,1,1488,123,8.27,784,52.69,10,10.0,434,29.17,57,3.83,53,3.56,10,10.0,17.08,10.0,1.82,20.0,99.06,274.0,758.0,36.0,0.0, 1321.45, 8532.01, 256.47, 1293.12, 11403.05,0,0,0,0,0
Mountain Pointe High School,Phoenix,85044,0,0,0,1,4,1,1713,456,26.62,639,37.3,88,5.14,371,21.66,110,6.42,10,10.0,10,10.0,17.61,10.0,3.18,20.0,97.78,588.0,825.0,84.0,0.0, 370.73, 7587.19, 130.82, 538.24, 8626.98,0,0,0,0,0
Mountain Ridge High School,Glendale,85310,0,0,1,1,5,0,2770,59,2.13,360,13.0,10,10.0,1868,67.44,128,4.62,339,12.24,10,10.0,23.99,10.0,0.23,19.9,99.52,542.0,588.0,22.0,0.0, 295.66, 4551.02, 43.93, 301.71, 5192.31,1,1,1,1,1
Mountain Sky Middle School,Phoenix,85023,0,0,1,0,4,1,713,49,6.87,298,41.8,10,10.0,304,42.64,35,4.91,10,10.0,0,0.0,15.28,8.84,0.0,20.1,100.0,0.0,203.0,24.0,1.0, 939.88, 6808.96, 925.35, 1030.20, 9704.38,1,1,1,0,1
Mountain Trail Middle School,Phoenix,85024,0,0,1,0,5,0,680,20,2.94,187,27.5,10,10.0,394,57.94,50,7.35,19,2.79,10,10.0,21.84,8.84,0.0,20.1,100.0,0.0,162.0,20.0,0.0, 968.63, 6650.79, 114.73, 1549.92, 9284.07,1,1,1,1,1
New School for the Arts,Tempe,85281,0,0,0,1,3,0,204,10,10.0,47,23.04,10,10.0,123,60.29,15,7.35,10,10.0,10,10.0,19.58,10.0,2.58,0.0,99.47,1.0,5.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
New World Educational Center,Phoenix,85014,1,1,1,1,4,1,173,10,10.0,150,86.7,10,10.0,10,10.0,10,10.0,0,0.0,0,0.0,14.06,8.84,0.0,20.1,100.0,0.0,45.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
North Canyon High School,Phoenix,85024,0,0,1,1,4,1,1842,146,7.93,1142,62.0,32,1.74,411,22.31,76,4.13,10,10.0,10,10.0,13.35,10.0,2.0,11.6,97.04,431.0,705.0,50.0,1.0, 801.86, 6870.59, 125.96, 1341.59, 9139.99,1,1,1,1,1
North High School,Phoenix,85014,0,0,0,1,3,1,2135,168,7.87,1758,82.34,56,2.62,91,4.26,35,1.64,10,10.0,10,10.0,8.95,10.0,6.51,15.0,96.7,209.0,857.0,27.0,0.0, 525.28, 8263.22, 59.89, 260.15, 9108.54,1,1,1,1,1
North Pointe Preparatory,Phoenix,85051,0,0,1,1,3,0,435,25,5.75,247,56.78,10,10.0,115,26.44,23,5.29,10,10.0,0,0.0,12.29,10.0,5.13,0.0,96.65,198.0,188.0,8.0,1.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Odyssey Institute for Advanced and International Studies,Buckeye,85326,0,0,1,1,4,0,1762,112,6.36,754,42.79,10,10.0,756,42.91,87,4.94,29,1.65,10,10.0,13.61,10.0,0.17,17.9,99.94,0.0,404.0,0.0,0.0, 60.91, 4056.08, 80.14, 1012.80, 5209.93,0,0,0,0,0
Ombudsman - Charter East,Phoenix,85018,0,0,0,1,4,0,85,10,10.0,63,74.12,10,10.0,10,10.0,10,10.0,0,0.0,0,0.0,1.12,6.1,20.34,35.0,65.05,0.0,162.0,0.0,0.0, 544.11, 2937.45, 148.30, 4393.00, 8022.87,0,0,0,0,0
Ombudsman - Charter East II,Phoenix,85018,0,0,0,1,4,0,87,10,10.0,63,72.41,10,10.0,10,10.0,0,0.0,0,0.0,0,0.0,15.46,8.84,29.14,20.1,65.67,0.0,161.0,0.0,0.0, 506.67, 3993.73, 119.30, 5651.51, 10271.21,0,0,0,0,0
Ombudsman - Charter Metro,Phoenix,85051,0,0,0,1,4,0,232,38,16.38,144,62.07,10,10.0,35,15.09,0,0.0,10,10.0,10,10.0,1.14,4.04,30.67,33.0,77.45,0.0,0.0,0.0,0.0, 584.14, 2557.36, 168.68, 2418.85, 5729.03,0,0,0,0,0
Ombudsman - Charter Northeast,Phoenix,85032,0,0,0,1,4,0,98,10,10.0,50,51.02,17,17.35,17,17.35,10,10.0,0,0.0,0,0.0,3.38,6.0,30.15,35.0,75.29,0.0,128.0,1.0,0.0, 384.29, 3829.46, 131.06, 4786.93, 9131.74,0,0,0,0,0
Ombudsman - Charter Northwest,Peoria,85345,0,0,0,1,4,0,142,16,11.27,78,54.93,10,10.0,41,28.87,10,10.0,0,0.0,10,10.0,1.78,5.16,15.02,34.2,70.55,0.0,0.0,0.0,0.0, 110.27, 3811.94, 258.54, 4147.09, 8327.84,0,0,0,0,0
Ombudsman - Charter West,Glendale,85308,0,0,0,1,4,0,118,17,14.41,39,33.05,0,0.0,59,50.0,10,10.0,10,10.0,10,10.0,2.23,5.33,30.45,35.0,71.29,0.0,203.0,1.0,0.0, 507.71, 5299.04, 464.64, 5216.46, 11487.85,0,0,0,0,0
Osborn Middle School,Phoenix,85013,0,0,1,0,4,1,498,80,16.06,327,65.66,28,5.62,40,8.03,13,2.61,10,10.0,10,10.0,10.52,8.84,0.0,20.1,100.0,0.0,368.0,30.0,2.0, 2931.63, 7291.31, 422.43, 1011.96, 11657.32,0,0,0,0,0
Palo Verde Middle School,Phoenix,85051,1,1,1,0,3,1,871,115,13.2,564,64.75,20,2.3,94,10.79,26,2.98,52,5.97,0,0.0,8.81,8.84,0.0,20.1,100.0,0.0,292.0,65.0,0.0, 1328.80, 7623.36, 861.16, 1167.64, 10980.97,1,1,1,0,1
Pan-American Charter School,Phoenix,85017,1,1,1,1,4,1,1123,23,2.05,1064,94.75,10,10.0,15,1.34,10,10.0,10,10.0,0,0.0,12.3,10.0,23.54,13.9,96.78,36.0,572.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Paradise Honors High School,Surprise,85374,0,0,0,1,5,1,915,46,5.03,192,20.98,10,10.0,589,64.37,46,5.03,31,3.39,10,10.0,22.89,10.0,0.09,17.0,100.0,100.0,22.0,6.0,0.0, 142.29, 7018.07, 396.86, 1705.41, 9262.63,0,0,0,0,0
Paradise Valley High School,Phoenix,85032,0,0,1,1,4,0,1872,67,3.58,800,42.73,10,10.0,741,39.58,60,3.21,171,9.13,10,10.0,22.15,10.0,3.4,15.7,96.27,331.0,507.0,21.0,0.0, 730.61, 7174.39, 182.37, 1593.40, 9680.77,1,1,1,1,1
Paragon Science Academy,Chandler,85226,1,1,1,1,5,1,547,151,27.61,44,8.04,10,10.0,196,35.83,10,10.0,133,24.31,0,0.0,25.63,10.0,0.0,20.0,100.0,62.0,144.0,0.0,0.0, 427.21, 5756.33, 636.69, 2513.22, 9333.44,1,1,1,1,1
Peoria Accelerated High School,Peoria,85345,0,0,0,1,5,1,543,56,10.31,365,67.22,11,2.03,81,14.92,21,3.87,10,10.0,10,10.0,2.57,4.75,18.23,35.0,84.26,0.0,600.0,5.0,1.0, 1207.89, 3761.64, 733.16, 3827.19, 9529.87,0,0,0,0,0
Peoria Flex Academy,Peoria,85381,0,0,1,1,4,0,92,10,10.0,44,47.83,10,10.0,37,40.22,10,10.0,10,10.0,0,0.0,3.93,8.41,6.75,24.5,93.1,0.0,114.0,0.0,0.0, 1356.66, 31931.19, 512.83, 383.25, 34183.92,0,0,0,0,0
Peoria High School,Peoria,85345,0,0,1,1,4,1,1564,155,9.91,861,55.05,10,10.0,398,25.45,57,3.65,53,3.39,10,10.0,14.74,10.0,1.59,19.7,99.58,257.0,626.0,2.0,0.0, 454.69, 6387.56, 145.24, 1186.33, 8173.82,0,0,0,0,0
Perry High School,Gilbert,85297,0,0,1,1,5,0,2805,101,3.6,505,18.0,10,10.0,1843,65.7,114,4.06,217,7.74,10,10.0,27.39,10.0,2.75,17.5,99.11,1124.0,1044.0,21.0,0.0, 188.36, 6961.63, 49.59, 629.77, 7829.35,1,1,1,1,1
Phoenix College Preparatory Academy,Phoenix,85013,0,0,0,1,5,1,244,13,5.33,196,80.33,10,10.0,18,7.38,10,10.0,10,10.0,10,10.0,22.16,10.0,0.77,19.0,99.58,4.0,60.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Phoenix Union Bioscience High School,Phoenix,85004,0,0,0,1,5,1,370,18,4.87,256,69.19,0,0.0,48,12.97,14,3.78,34,9.19,0,0.0,30.0,10.0,0.0,20.0,100.0,37.0,10.0,0.0,0.0, 336.22, 10009.70, 89.45, 573.03, 11008.39,1,1,1,1,1
Pinnacle High School,Phoenix,85050,0,0,1,1,5,0,2480,47,1.9,371,14.96,10,10.0,1797,72.46,128,5.16,122,4.92,10,10.0,30.0,10.0,1.38,19.1,99.38,585.0,151.0,18.0,0.0, 631.49, 5906.27, 116.20, 1239.36, 7893.33,1,1,1,1,1
Poston Junior High School,Mesa,85213,0,0,1,0,4,1,881,43,4.88,462,52.44,25,2.84,307,34.85,30,3.4,10,10.0,10,10.0,13.42,8.84,0.0,20.1,100.0,0.0,452.0,55.0,11.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Precision Academy,Phoenix,85035,0,0,0,1,4,0,66,10,10.0,60,90.91,0,0.0,10,10.0,0,0.0,0,0.0,0,0.0,2.93,7.41,17.0,35.0,85.71,0.0,50.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Premier Charter High School,Phoenix,85033,0,0,0,1,4,1,153,10,10.0,136,88.89,10,10.0,10,10.0,10,10.0,0,0.0,0,0.0,2.76,7.65,19.3,35.0,96.62,0.0,214.0,22.0,4.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Primavera - Online,Chandler,85225,1,1,1,1,2,0,6381,314,4.92,2783,43.61,263,4.12,2563,40.17,365,5.72,78,1.22,15,0.23,5.27,3.97,16.57,3.1,79.72,0.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Queen Creek High School,Queen Creek,85142,0,0,0,1,5,0,2225,64,2.88,581,26.11,10,10.0,1416,63.64,90,4.04,44,1.98,10,10.0,23.58,10.0,2.22,18.9,99.86,229.0,825.0,28.0,0.0, 205.25, 5508.74, 4.03, 486.54, 6204.56,1,1,1,1,1
Queen Creek Virtual Academy,Queen Creek,85142,1,1,1,1,3,0,257,10,10.0,63,24.51,10,10.0,160,62.26,15,5.84,10,10.0,0,0.0,10.05,8.84,1.75,10.1,99.41,0.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Raymond S. Kellis,Glendale,85305,0,0,1,1,4,1,1818,161,8.86,1055,58.03,10,10.0,425,23.38,69,3.79,78,4.29,10,10.0,16.05,10.0,2.52,18.2,99.07,192.0,630.0,12.0,0.0, 323.92, 5745.43, 246.58, 769.06, 7085.00,0,0,0,0,0
Red Mountain High School,Mesa,85207,0,0,0,1,5,0,3448,123,3.57,883,25.61,50,1.45,2193,63.6,118,3.42,62,1.8,19,0.55,22.24,10.0,1.77,18.4,99.2,1044.0,1423.0,55.0,2.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Rhodes Junior High School,Mesa,85202,0,0,1,1,4,1,677,50,7.39,431,63.66,64,9.45,100,14.77,21,3.1,10,10.0,10,10.0,9.9,8.84,0.0,20.1,100.0,0.0,453.0,93.0,5.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Roadrunner School,Phoenix,85028,1,1,1,1,4,0,239,10,10.0,82,34.31,10,10.0,110,46.02,13,5.44,17,7.11,0,0.0,15.46,8.84,6.82,20.1,97.56,0.0,43.0,8.0,0.0, 22578.88, 158170.43, 2235.76, 4654.69, 187639.76,0,0,0,0,0
Saguaro High School,Scottsdale,85250,0,0,0,1,5,0,1466,101,6.89,339,23.12,64,4.37,861,58.73,48,3.27,10,10.0,10,10.0,23.63,10.0,0.99,19.9,99.3,266.0,342.0,19.0,0.0, 119.45, 5800.70, 15.00, 416.44, 6351.58,0,0,0,0,0
Salt River Accelerated Learning Academy,Scottsdale,85256,0,0,0,1,4,0,74,0,0.0,10,10.0,64,86.49,0,0.0,0,0.0,0,0.0,0,0.0,2.87,4.29,36.97,31.1,79.69,0.0,81.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
San Tan Charter School,Gilbert,85296,1,1,1,1,4,1,868,29,3.34,230,26.5,10,10.0,528,60.83,48,5.53,23,2.65,10,10.0,19.56,10.0,1.48,19.0,99.88,0.0,428.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Sandra Day O'Connor High School,Glendale,85310,0,0,1,1,5,0,2566,63,2.46,351,13.68,10,10.0,1892,73.73,92,3.58,148,5.77,10,10.0,22.99,10.0,0.36,20.0,99.73,508.0,544.0,37.0,0.0, 246.71, 4880.24, 62.71, 293.94, 5483.60,1,1,1,1,1
Santan Junior High School,Chandler,85249,0,0,1,0,4,0,1228,64,5.21,227,18.48,10,10.0,763,62.13,76,6.19,80,6.51,10,10.0,21.8,8.84,0.0,20.1,99.28,0.0,292.0,29.0,0.0, 151.26, 6459.49, 19.24, 320.61, 6950.60,1,1,1,1,1
Scottsdale Online Learning,Scottsdale,85257,1,1,1,1,4,0,224,10,10.0,47,20.98,10,10.0,142,63.39,10,10.0,10,10.0,0,0.0,15.46,8.84,10.88,20.1,94.97,4.0,0.0,0.0,0.0, 15043.60, 20243.53, 4.68, 58.47, 35350.27,0,0,0,0,0
Sequoia Choice School Arizona Distance Learning School,Mesa,85204,1,1,1,1,3,1,3062,125,4.08,597,19.5,109,3.56,2062,67.34,130,4.25,26,0.85,13,0.42,9.71,4.43,16.76,11.4,87.85,0.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Sequoia Secondary School,Mesa,85204,0,0,1,1,3,1,371,20,5.39,275,74.12,12,3.23,51,13.75,10,10.0,0,0.0,10,10.0,6.13,9.16,9.82,14.1,99.45,0.0,272.0,4.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Shadow Mountain High School,Phoenix,85028,0,0,1,1,4,0,1108,37,3.34,364,32.85,10,10.0,624,56.32,50,4.51,17,1.53,10,10.0,21.61,10.0,2.71,14.5,96.0,323.0,307.0,50.0,1.0, 985.07, 9371.43, 137.90, 1367.53, 11861.92,1,1,1,1,1
Shadow Ridge High School,Surprise,85388,0,0,1,1,5,0,2317,112,4.83,709,30.6,10,10.0,1277,55.11,164,7.08,39,1.68,10,10.0,23.15,10.0,0.45,16.9,99.78,385.0,818.0,16.0,6.0, 467.98, 5947.78, 526.13, 1194.77, 8136.66,1,1,1,1,1
Shea Middle School,Phoenix,85028,0,1,1,0,4,0,511,33,6.46,194,37.97,10,10.0,243,47.55,29,5.67,10,10.0,10,10.0,16.5,8.84,0.0,20.1,99.81,0.0,211.0,47.0,0.0, 1259.34, 9528.95, 123.23, 1454.21, 12365.73,1,1,1,1,1
Shepherd Junior High School,Mesa,85205,0,1,1,0,5,1,604,13,2.15,188,31.13,10,10.0,352,58.28,28,4.64,10,10.0,10,10.0,17.61,8.84,0.0,20.1,99.84,0.0,217.0,40.0,4.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Sierra Linda High School,Tolleson,85353,0,0,0,1,4,1,1976,182,9.21,1650,83.5,18,0.91,71,3.59,26,1.32,17,0.86,12,0.61,9.61,10.0,4.21,14.8,97.05,1245.0,1107.0,52.0,0.0, 859.95, 7672.41, 118.01, 877.73, 9528.10,0,0,0,0,0
Skyline High School,Mesa,85208,0,0,0,1,3,0,2249,99,4.4,1135,50.47,55,2.45,875,38.91,46,2.04,27,1.2,12,0.53,11.67,10.0,5.17,15.7,97.86,489.0,1273.0,39.0,4.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Skyline Prep High School,Phoenix,85042,0,0,0,1,5,1,201,82,40.8,80,39.8,10,10.0,18,8.96,10,10.0,10,10.0,0,0.0,3.28,9.38,1.87,35.0,100.0,0.0,177.0,0.0,0.0, 1961.11, 5037.58, 3935.82, 29.06, 10963.57,1,1,1,1,1
Skyview High School,Buckeye,85326,0,0,0,1,4,1,174,19,10.92,105,60.34,10,10.0,41,23.56,10,10.0,0,0.0,0,0.0,2.08,5.45,26.69,32.7,84.12,0.0,249.0,17.0,1.0, 1888.80, 4929.43, 942.42, 4340.03, 12100.68,0,0,0,0,0
Smith Junior High School,Mesa,85207,0,0,1,0,3,1,841,31,3.69,383,45.54,21,2.5,353,41.97,34,4.04,10,10.0,10,10.0,11.58,8.84,0.0,20.1,100.0,0.0,378.0,45.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Sonoran Science Academy - Phoenix,Phoenix,85008,1,1,1,1,4,1,380,214,56.32,94,24.74,10,10.0,28,7.37,10,10.0,34,8.95,10,10.0,10.25,10.0,0.73,15.1,100.0,0.0,209.0,0.0,0.0, 1537.13, 549.34, 3281.10, 7664.34, 13031.90,0,0,0,0,0
Sonoran Science Academy-Peoria,Peoria,85382,1,1,1,0,3,1,232,37,15.95,50,21.55,10,10.0,113,48.71,21,9.05,10,10.0,10,10.0,16.03,8.84,0.0,20.1,100.0,0.0,92.0,0.0,0.0, 992.36, 6445.88, 1201.29, 5602.85, 14242.38,1,1,1,1,1
Sonoran Trails Middle School,Phoenix,85085,0,0,1,0,4,0,760,10,10.0,113,14.87,10,10.0,594,78.16,28,3.68,14,1.84,10,10.0,22.22,8.84,0.0,20.1,99.87,0.0,366.0,10.0,9.0, 7273.43, 81628.34, 3095.95, 21473.22, 113470.93,0,0,0,0,0
Sossaman Middle School,Queen Creek,85142,0,0,1,0,5,0,1040,35,3.37,203,19.52,10,10.0,698,67.11,68,6.54,24,2.31,10,10.0,24.3,8.84,0.0,20.1,100.0,0.0,307.0,3.0,0.0, 567.22, 6825.78, 148.36, 1053.02, 8594.38,0,0,0,0,0
South Mountain High School,Phoenix,85040,0,0,0,1,3,1,2145,276,12.87,1743,81.26,18,0.84,62,2.89,34,1.58,10,10.0,10,10.0,8.57,9.13,5.0,15.2,96.85,132.0,942.0,49.0,0.0, 502.67, 8203.03, 94.51, 356.90, 9157.10,1,1,1,1,1
South Pointe High School,Phoenix,85042,0,0,0,1,5,1,555,115,20.72,387,69.73,28,5.04,13,2.34,10,10.0,10,10.0,10,10.0,3.11,5.96,23.54,35.0,98.06,0.0,662.0,0.0,0.0, 1568.29, 3647.03, 1151.30, 3904.90, 10271.53,0,0,0,0,0
South Ridge High School,Phoenix,85043,0,0,0,1,4,1,408,19,4.66,365,89.46,10,10.0,15,3.68,10,10.0,0,0.0,10,10.0,15.35,10.0,4.97,19.9,98.99,48.0,290.0,1.0,1.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Southwest Leadership Academy,Phoenix,85043,0,0,0,1,4,1,196,19,9.69,168,85.71,10,10.0,10,10.0,0,0.0,0,0.0,0,0.0,1.6,5.51,9.5,35.0,96.23,0.0,306.0,8.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Stapley Junior High School,Mesa,85213,0,0,1,0,5,0,980,10,10.0,212,21.63,87,8.88,646,65.92,15,1.53,10,10.0,10,10.0,21.58,8.84,0.0,20.1,100.0,0.0,284.0,15.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Sun Valley High School,Mesa,85204,0,0,0,1,4,1,372,28,7.53,243,65.32,16,4.3,68,18.28,14,3.76,10,10.0,10,10.0,2.72,4.21,34.33,35.0,78.42,0.0,624.0,3.0,0.0, 1472.73, 3630.45, 818.41, 3865.25, 9786.84,0,0,0,0,0
Sunflower School,Glendale,85306,1,1,1,1,4,0,24,10,10.0,12,50.0,10,10.0,10,10.0,10,10.0,0,0.0,0,0.0,15.46,8.84,8.33,20.1,86.36,0.0,16.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Sunnyslope High School,Phoenix,85021,0,0,0,1,5,1,2281,102,4.47,1239,54.32,42,1.84,787,34.5,79,3.46,10,10.0,10,10.0,24.62,10.0,1.11,20.0,99.54,319.0,776.0,17.0,0.0, 965.47, 7594.58, 334.89, 1336.84, 10231.78,0,0,0,0,0
