School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
Boulder Creek High School,Public,Anthem,85086,09 - 12,"2,576",25:1,"565th out of 26,089",23rd out of 659,"1,366",53%,"6,824",51%,"1,210",47%,"6,530",49%,"2,103",82%,"9,254",69%,280,11%,"2,547",19%,80,3%,384,3%,57,2%,496,4%,43,2%,518,4%,9,0%,41,0%,4,0%,114,1%,"2,243",(87%),"9,929",74%,255,(10%),"2,700",20%,78,(3%),725,5%,"{""Sandra Day O'Connor High School"": '10 miles', 'Cactus Shadows High School': '12 miles', 'Mountain Ridge High School': '12 miles', 'Hillcrest Middle School': '12 miles', 'Deer Valley Middle School': '12 miles', 'Barry Goldwater High School': '13 miles', 'Mountain Trail Middle School': '13 miles', 'Arrowhead Christian Academy': '14 miles', 'Sonoran Trails Middle School': '14 miles', 'Vista Peak': '14 miles'}"
Great Hearts Academies - Anthem Prep,Public,Anthem,85086,KG - 12,769,-1:1,"7,645th out of 26,089",152nd out of 659,385,50%,385,50%,384,50%,384,50%,614,80%,614,80%,65,8%,65,8%,51,7%,51,7%,24,3%,24,3%,9,1%,9,1%,3,0%,3,0%,3,0%,3,0%,,,769,100%,,,0,0%,,,0,0%,"{'Boulder Creek High School': '1 miles', ""Sandra Day O'Connor High School"": '9 miles', 'Cactus Shadows High School': '12 miles', 'Mountain Ridge High School': '12 miles', 'Deer Valley Middle School': '12 miles', 'Hillcrest Middle School': '12 miles', 'Barry Goldwater High School': '12 miles', 'Sonoran Trails Middle School': '13 miles', 'Arrowhead Christian Academy': '13 miles', 'Vista Peak': '13 miles'}"
West-Mec - Boulder Creek High School,Public,Anthem,85086,09 - 12,4,-1:1,"25,615th out of 26,089",594th out of 659,4,100%,238,57%,0,0%,183,43%,3,75%,186,44%,1,25%,182,43%,0,0%,10,2%,0,0%,2,0%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Boulder Creek High School': '1 miles', ""Sandra Day O'Connor High School"": '10 miles', 'Cactus Shadows High School': '12 miles', 'Mountain Ridge High School': '12 miles', 'Hillcrest Middle School': '12 miles', 'Deer Valley Middle School': '12 miles', 'Barry Goldwater High School': '13 miles', 'Mountain Trail Middle School': '13 miles', 'Arrowhead Christian Academy': '14 miles', 'Sonoran Trails Middle School': '14 miles'}"
Agua Fria High School,Public,Avondale,85323,09 - 12,"1,736",18.1:1,"2,423rd out of 26,089",86th out of 659,885,51%,"3,728",49%,851,49%,"3,889",51%,"1,121",65%,"3,507",46%,341,20%,"2,752",36%,193,11%,752,10%,34,2%,255,3%,29,2%,253,3%,13,1%,64,1%,5,0%,34,0%,"1,307",(75%),"6,169",81%,356,(21%),"1,079",14%,73,(4%),369,5%,"{'La Joya Community High School': '3 miles', 'Desert Edge High School': '4 miles', 'Millennium High School': '5 miles', 'Sierra Linda High School': '5 miles', 'Westview High School': '5 miles', 'University High School': '5 miles', 'Tolleson Union High School': '5 miles', 'Copper Canyon High School': '7 miles', 'Trevor Browne High School': '8 miles', 'High-Star Center for Children': '13 miles'}"
Arizona Agribusiness & Equine Center - Estrella,Public,Avondale,85007,09 - 12,480,-1:1,"11,110th out of 26,089",201st out of 659,277,58%,277,58%,203,42%,203,42%,241,50%,241,50%,173,36%,173,36%,34,7%,34,7%,21,4%,21,4%,5,1%,5,1%,5,1%,5,1%,1,0%,1,0%,286,(60%),286,60%,117,(24%),117,24%,77,(16%),77,16%,"{'Millennium High School': '3 miles', 'Westview High School': '3 miles', 'Agua Fria High School': '4 miles', 'La Joya Community High School': '5 miles', 'Desert Edge High School': '5 miles', 'Sierra Linda High School': '5 miles', 'University High School': '6 miles', 'Tolleson Union High School': '6 miles', 'Copper Canyon High School': '6 miles', 'Raymond S. Kellis': '7 miles'}"
E-Institute at Avondale,Public,Avondale,85323,09 - 12,80,-1:1,"21,288th out of 26,089",434th out of 659,48,60%,461,53%,32,40%,401,47%,62,78%,420,49%,9,11%,48,6%,4,5%,27,3%,3,4%,336,39%,2,3%,10,1%,0,0%,2,0%,0,0%,19,2%,42,(53%),296,34%,32,(40%),461,53%,6,(8%),105,12%,"{'Agua Fria High School': '1 miles', 'La Joya Community High School': '3 miles', 'Westview High School': '4 miles', 'Desert Edge High School': '4 miles', 'Sierra Linda High School': '4 miles', 'Millennium High School': '4 miles', 'University High School': '5 miles', 'Tolleson Union High School': '5 miles', 'Copper Canyon High School': '7 miles', 'Trevor Browne High School': '8 miles'}"
Estrella High School,Public,Avondale,85323,09 - 12,258,-1:1,"15,742nd out of 26,089",273rd out of 659,132,51%,132,51%,126,49%,126,49%,188,73%,188,73%,34,13%,34,13%,28,11%,28,11%,4,2%,4,2%,2,1%,2,1%,1,0%,1,0%,1,0%,1,0%,157,(61%),157,61%,89,(34%),89,34%,12,(5%),12,5%,"{'Agua Fria High School': '1 miles', 'La Joya Community High School': '3 miles', 'Desert Edge High School': '3 miles', 'Millennium High School': '5 miles', 'Sierra Linda High School': '5 miles', 'Westview High School': '5 miles', 'University High School': '5 miles', 'Tolleson Union High School': '5 miles', 'Copper Canyon High School': '8 miles', 'Trevor Browne High School': '9 miles'}"
La Joya Community High School,Public,Avondale,85353,09 - 12,"2,226",27.5:1,"1,042nd out of 26,089",37th out of 659,"1,160",52%,"5,841",51%,"1,066",48%,"5,540",49%,"1,651",74%,"8,663",76%,286,13%,"1,077",9%,172,8%,"1,071",9%,45,2%,194,2%,33,1%,219,2%,33,1%,121,1%,6,0%,36,0%,"1,186",(53%),"5,962",52%,818,(37%),"4,403",39%,222,(10%),"1,016",9%,"{'Agua Fria High School': '3 miles', 'University High School': '3 miles', 'Sierra Linda High School': '3 miles', 'Tolleson Union High School': '4 miles', 'Westview High School': '5 miles', 'Desert Edge High School': '6 miles', 'Millennium High School': '7 miles', 'Trevor Browne High School': '7 miles', 'Copper Canyon High School': '7 miles', 'Bourgade Catholic High School': '12 miles'}"
West-Mec - Agua Fria High School,Public,Avondale,85323,09 - 12,3,-1:1,"25,708th out of 26,089",602nd out of 659,2,67%,183,43%,1,33%,238,57%,2,67%,186,44%,1,33%,182,43%,0,0%,10,2%,0,0%,2,0%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Agua Fria High School': '1 miles', 'La Joya Community High School': '3 miles', 'Desert Edge High School': '4 miles', 'Millennium High School': '5 miles', 'Sierra Linda High School': '5 miles', 'Westview High School': '5 miles', 'University High School': '5 miles', 'Tolleson Union High School': '5 miles', 'Copper Canyon High School': '8 miles', 'Trevor Browne High School': '8 miles'}"
West-Mec - La Joya High School,Public,Avondale,85353,09 - 12,5,-1:1,"25,512th out of 26,089",584th out of 659,4,80%,238,57%,1,20%,183,43%,3,60%,186,44%,2,40%,29,7%,0,0%,10,2%,0,0%,2,0%,0,0%,182,43%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'La Joya Community High School': '1 miles', 'Sierra Linda High School': '3 miles', 'University High School': '3 miles', 'Agua Fria High School': '3 miles', 'Tolleson Union High School': '4 miles', 'Westview High School': '5 miles', 'Desert Edge High School': '6 miles', 'Millennium High School': '7 miles', 'Trevor Browne High School': '7 miles', 'Copper Canyon High School': '7 miles'}"
West-Mec - West View High School,Public,Avondale,85353,09 - 12,10,-1:1,"25,082nd out of 26,089",560th out of 659,5,50%,183,43%,5,50%,238,57%,4,40%,186,44%,2,20%,182,43%,2,20%,29,7%,1,10%,10,2%,1,10%,7,2%,0,0%,2,0%,0,0%,5,1%,,,421,100%,,,0,0%,,,0,0%,"{'Westview High School': '1 miles', 'Copper Canyon High School': '3 miles', 'Sierra Linda High School': '4 miles', 'Tolleson Union High School': '4 miles', 'University High School': '4 miles', 'Trevor Browne High School': '5 miles', 'Agua Fria High School': '5 miles', 'Raymond S. Kellis': '5 miles', 'La Joya Community High School': '5 miles', 'Millennium High School': '5 miles'}"
Westview High School,Public,Avondale,85353,09 - 12,"2,423",25.2:1,"755th out of 26,089",31st out of 659,"1,266",52%,"5,841",51%,"1,157",48%,"5,540",49%,"1,543",64%,"8,663",76%,490,20%,"1,071",9%,243,10%,"1,077",9%,65,3%,219,2%,52,2%,194,2%,25,1%,121,1%,5,0%,36,0%,"1,241",(51%),"4,403",39%,993,(41%),"5,962",52%,189,(8%),"1,016",9%,"{'Copper Canyon High School': '3 miles', 'Sierra Linda High School': '4 miles', 'Tolleson Union High School': '4 miles', 'University High School': '4 miles', 'Trevor Browne High School': '5 miles', 'Agua Fria High School': '5 miles', 'Raymond S. Kellis': '5 miles', 'La Joya Community High School': '5 miles', 'Millennium High School': '5 miles', 'High-Star Center for Children': '9 miles'}"
Aspc - Lewis,Public,Buckeye,85326,UG - UG,,,Unranked,Unranked,,,1,100%,,,0,0%,,,0,0%,,,0,0%,,,1,100%,,,0,0%,,,0,0%,,,0,0%,,,0,0%,,,1,100%,,,0,0%,,,0,0%,"{'Buckeye Union High School': '14 miles', 'Youngker High School': '16 miles', 'Estrella Foothills High School': '17 miles', 'Gila Bend High School': '18 miles', 'Desert Edge High School': '23 miles', 'Verrado High School': '23 miles', 'Tonopah Valley High School': '25 miles', 'Agua Fria High School': '25 miles', 'La Joya Community High School': '26 miles', 'Millennium High School': '26 miles'}"
Buckeye Union High School,Public,Buckeye,85326,09 - 12,"1,402",24.5:1,"3,772nd out of 26,089",109th out of 659,711,51%,"1,978",50%,691,49%,"1,945",50%,809,58%,"2,020",51%,442,32%,"1,453",37%,106,8%,311,8%,21,1%,36,1%,19,1%,54,1%,3,0%,32,1%,2,0%,17,0%,"1,115",(80%),"3,159",81%,240,(17%),597,15%,47,(3%),167,4%,"{'Youngker High School': '3 miles', 'Estrella Foothills High School': '10 miles', 'Verrado High School': '10 miles', 'Desert Edge High School': '12 miles', 'Millennium High School': '15 miles', 'Agua Fria High School': '15 miles', 'La Joya Community High School': '16 miles', 'Shadow Ridge High School': '16 miles', 'Westview High School': '19 miles'}"
E-Institute at Buckeye,Public,Buckeye,85326,09 - 12,64,-1:1,"21,990th out of 26,089",455th out of 659,35,55%,461,53%,29,45%,401,47%,44,69%,420,49%,17,27%,336,39%,1,2%,27,3%,1,2%,48,6%,1,2%,10,1%,0,0%,2,0%,0,0%,19,2%,31,(48%),461,53%,30,(47%),296,34%,3,(5%),105,12%,"{'Buckeye Union High School': '2 miles', 'Youngker High School': '3 miles', 'Verrado High School': '10 miles', 'Estrella Foothills High School': '11 miles', 'Desert Edge High School': '12 miles', 'Millennium High School': '15 miles', 'Agua Fria High School': '15 miles', 'Shadow Ridge High School': '16 miles', 'La Joya Community High School': '17 miles', 'Tonopah Valley High School': '18 miles'}"
Odyssey Institute for Advanced and International Studies,Public,Buckeye,85326,06 - 12,"1,087",-1:1,"5,422nd out of 26,089",128th out of 659,566,52%,566,52%,521,48%,521,48%,650,60%,650,60%,288,26%,288,26%,73,7%,73,7%,33,3%,33,3%,21,2%,21,2%,12,1%,12,1%,10,1%,10,1%,,,"1,087",100%,,,0,0%,,,0,0%,"{'Youngker High School': '5 miles', 'Verrado High School': '5 miles', 'Buckeye Union High School': '6 miles', 'Desert Edge High School': '7 miles', 'Millennium High School': '9 miles', 'Estrella Foothills High School': '9 miles', 'Agua Fria High School': '10 miles', 'Shadow Ridge High School': '11 miles', 'La Joya Community High School': '12 miles', 'Westview High School': '13 miles'}"
Skyview High School,Public,Buckeye,85326,09 - 12,137,-1:1,"19,117th out of 26,089",357th out of 659,90,66%,90,66%,47,34%,47,34%,89,65%,89,65%,28,20%,28,20%,18,13%,18,13%,2,1%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,91,(66%),91,66%,37,(27%),37,27%,9,(7%),9,7%,"{'Youngker High School': '2 miles', 'Buckeye Union High School': '3 miles', 'Verrado High School': '9 miles', 'Estrella Foothills High School': '12 miles', 'Desert Edge High School': '12 miles', 'Millennium High School': '14 miles', 'Shadow Ridge High School': '15 miles', 'Agua Fria High School': '15 miles', 'La Joya Community High School': '17 miles', 'Tonopah Valley High School': '18 miles'}"
Verrado High School,Public,Buckeye,85396,09 - 12,"1,905",22.6:1,"1,866th out of 26,089",60th out of 659,961,50%,"3,889",51%,944,50%,"3,728",49%,978,51%,"2,752",36%,692,36%,"3,507",46%,106,6%,752,10%,69,4%,255,3%,43,2%,253,3%,9,0%,64,1%,8,0%,34,0%,"1,644",(86%),"6,169",81%,182,(10%),"1,079",14%,79,(4%),369,5%,"{'Shadow Ridge High School': '7 miles', 'Millennium High School': '7 miles', 'Desert Edge High School': '7 miles', 'Youngker High School': '8 miles', 'Agua Fria High School': '10 miles', 'Buckeye Union High School': '10 miles', 'Willow Canyon High School': '10 miles', 'Valley Vista High School': '11 miles', 'Dysart High School': '11 miles', 'High-Star Center for Children': '20 miles'}"
West-Mec - Buckeye Union High School,Public,Buckeye,85326,09 - 12,15,-1:1,"24,657th out of 26,089",538th out of 659,11,73%,238,57%,4,27%,183,43%,7,47%,182,43%,6,40%,186,44%,2,13%,29,7%,0,0%,10,2%,0,0%,2,0%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Buckeye Union High School': '1 miles', 'Youngker High School': '3 miles', 'Estrella Foothills High School': '10 miles', 'Verrado High School': '10 miles', 'Desert Edge High School': '12 miles', 'Millennium High School': '15 miles', 'Agua Fria High School': '15 miles', 'La Joya Community High School': '16 miles', 'Shadow Ridge High School': '16 miles', 'Westview High School': '19 miles'}"
West-Mec - Verrado High School,Public,Buckeye,85396,09 - 12,1,-1:1,"25,948th out of 26,089",630th out of 659,1,100%,183,43%,0,0%,238,57%,1,100%,182,43%,0,0%,10,2%,0,0%,2,0%,0,0%,186,44%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Verrado High School': '1 miles', 'Shadow Ridge High School': '7 miles', 'Millennium High School': '7 miles', 'Desert Edge High School': '7 miles', 'Youngker High School': '8 miles', 'Agua Fria High School': '10 miles', 'Buckeye Union High School': '10 miles', 'Willow Canyon High School': '11 miles', 'Valley Vista High School': '11 miles', 'Dysart High School': '11 miles'}"
West-Mec - Youngker High School,Public,Buckeye,85326,09 - 12,22,-1:1,"24,174th out of 26,089",514th out of 659,14,64%,183,43%,8,36%,238,57%,9,41%,182,43%,9,41%,186,44%,4,18%,29,7%,0,0%,10,2%,0,0%,2,0%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Youngker High School': '1 miles', 'Buckeye Union High School': '3 miles', 'Verrado High School': '8 miles', 'Desert Edge High School': '11 miles', 'Estrella Foothills High School': '11 miles', 'Millennium High School': '13 miles', 'Shadow Ridge High School': '14 miles', 'Agua Fria High School': '14 miles', 'La Joya Community High School': '16 miles', 'Willow Canyon High School': '17 miles'}"
Youngker High School,Public,Buckeye,85326,09 - 12,"1,492",24.5:1,"3,378th out of 26,089",106th out of 659,764,51%,"1,945",50%,728,49%,"1,978",50%,806,54%,"2,020",51%,480,32%,"1,453",37%,154,10%,311,8%,16,1%,32,1%,15,1%,54,1%,13,1%,17,0%,8,1%,36,1%,"1,140",(76%),"3,159",81%,270,(18%),597,15%,82,(5%),167,4%,"{'Buckeye Union High School': '3 miles', 'Verrado High School': '8 miles', 'Desert Edge High School': '11 miles', 'Estrella Foothills High School': '11 miles', 'Millennium High School': '13 miles', 'Shadow Ridge High School': '14 miles', 'Agua Fria High School': '14 miles', 'La Joya Community High School': '16 miles', 'Willow Canyon High School': '17 miles'}"
Arizona College Prep Erie Campus,Public,Chandler,85224,07 - 12,594,19.2:1,"9,474th out of 26,089",181st out of 659,302,51%,"9,751",51%,292,49%,"9,426",49%,322,54%,"11,040",58%,130,22%,"1,615",8%,93,16%,"4,578",24%,32,5%,"1,275",7%,11,2%,324,2%,6,1%,322,2%,0,0%,23,0%,537,(90%),"14,674",77%,47,(8%),"3,951",21%,10,(2%),552,3%,"{'Chandler Online Academy': '1 miles', 'Chandler High School': '2 miles', 'Seton Catholic Preparatory High School': '2 miles', 'Willis Junior High School': '3 miles', 'Mesquite High School': '3 miles', 'Tri-City Christian Academy': '3 miles', 'Bogle Junior High School': '4 miles', 'Dobson High School': '4 miles', 'Corona Del Sol High School': '4 miles', 'Hamilton High School': '5 miles'}"
Az Compass Prep School,Public,Chandler,85225,07 - 12,143,-1:1,"18,895th out of 26,089",352nd out of 659,75,52%,75,52%,68,48%,68,48%,58,41%,58,41%,42,29%,42,29%,24,17%,24,17%,15,10%,15,10%,3,2%,3,2%,1,1%,1,1%,0,0%,0,0%,125,(87%),125,87%,15,(10%),15,10%,3,(2%),3,2%,"{'Mesquite High School': '2 miles', 'Chandler Online Academy': '2 miles', 'Mesquite Jr High School': '3 miles', 'Seton Catholic Preparatory High School': '3 miles', 'Dobson High School': '3 miles', 'Arizona College Prep Erie Campus': '3 miles', 'Chandler High School': '3 miles', 'Willis Junior High School': '4 miles', 'Mesa Transitional Learning Center': '4 miles', 'Rhodes Junior High School': '4 miles'}"
Basha High School,Public,Chandler,85249,06 - 12,"2,544",20.4:1,"592nd out of 26,089",26th out of 659,"1,308",51%,"9,751",51%,"1,236",49%,"9,426",49%,"1,758",69%,"11,040",58%,401,16%,"4,578",24%,166,7%,"1,275",7%,150,6%,"1,615",8%,35,1%,322,2%,32,1%,324,2%,2,0%,23,0%,"2,202",(87%),"14,674",77%,276,(11%),"3,951",21%,66,(3%),552,3%,"{'Willie & Coy Payne Junior High School': '3 miles', 'Perry High School': '3 miles', 'Santan Junior High School': '4 miles', 'Campo Verde High School': '4 miles', 'Dr. Camille Casteel High School': '5 miles', 'Sossaman Middle School': '6 miles', 'Hamilton High School': '6 miles', 'Higley High School': '6 miles', 'Canyon State Academy': '7 miles', 'South Valley Junior High School': '7 miles'}"
Basis Chandler,Public,Chandler,85225,05 - 12,717,-1:1,"8,119th out of 26,089",162nd out of 659,370,52%,370,52%,347,48%,347,48%,509,71%,509,71%,159,22%,159,22%,25,3%,25,3%,14,2%,14,2%,8,1%,8,1%,1,0%,1,0%,1,0%,1,0%,,,717,100%,,,0,0%,,,0,0%,"{'Willis Junior High School': '1 miles', 'Chandler High School': '2 miles', 'South Valley Junior High School': '3 miles', 'Chandler Online Academy': '3 miles', 'Mesquite High School': '3 miles', 'Mesquite Jr High School': '3 miles', 'Arizona College Prep Erie Campus': '3 miles', 'Campo Verde High School': '4 miles', 'Gilbert High School': '4 miles', 'Tri-City Christian Academy': '5 miles'}"
Blueprint High School,Public,Chandler,85225,09 - 12,45,-1:1,"22,875th out of 26,089",480th out of 659,23,51%,195,53%,22,49%,174,47%,36,80%,216,59%,5,11%,9,2%,3,7%,88,24%,1,2%,6,2%,0,0%,3,1%,0,0%,0,0%,0,0%,47,13%,30,(67%),191,52%,11,(24%),145,39%,4,(9%),33,9%,"{'Chandler Online Academy': '1 miles', 'Chandler High School': '1 miles', 'Arizona College Prep Erie Campus': '2 miles', 'Willis Junior High School': '2 miles', 'Seton Catholic Preparatory High School': '3 miles', 'Mesquite High School': '3 miles', 'Mesquite Jr High School': '4 miles', 'Dobson High School': '4 miles', 'Bogle Junior High School': '4 miles', 'South Valley Junior High School': '4 miles'}"
Bogle Junior High School,Public,Chandler,85248,07 - 08,"1,194",21.6:1,Unranked,Unknown,602,50%,"9,426",49%,592,50%,"9,751",51%,633,53%,"11,040",58%,315,26%,"4,578",24%,123,10%,"1,615",8%,74,6%,"1,275",7%,24,2%,322,2%,22,2%,324,2%,3,0%,23,0%,850,(71%),"14,674",77%,305,(26%),"3,951",21%,39,(3%),552,3%,"{'Hamilton High School': '2 miles', 'Tri-City Christian Academy': '2 miles', 'Chandler High School': '4 miles', 'Arizona College Prep Erie Campus': '4 miles', 'Chandler Online Academy': '4 miles', 'Santan Junior High School': '4 miles', 'Willis Junior High School': '4 miles', 'Seton Catholic Preparatory High School': '5 miles', 'Mesquite High School': '6 miles', 'Corona Del Sol High School': '6 miles'}"
Brightmont Academy - Chandler,Private,Chandler,85226,06 - 12,21,4:1,"6,704th out of 7,602",66th out of 74,12,57%,"6,990",54%,9,43%,"6,021",46%,17,81%,"8,083",65%,2,10%,"2,189",18%,1,5%,648,5%,1,5%,737,6%,0,0%,629,5%,0,0%,43,0%,0,0%,136,1%,,,,,,,,,,,,,"{'Corona Del Sol High School': '2 miles', 'Valley Christian High School': '2 miles', 'Desert Garden Montessori': '3 miles', 'Mountain Pointe High School': '4 miles', 'Tri-City Christian Academy': '4 miles', 'Seton Catholic Preparatory High School': '4 miles', 'Marcos De Niza High School': '5 miles', 'Compadre High School': '5 miles', 'Bogle Junior High School': '5 miles', 'Desert Vista High School': '5 miles'}"
Chandler High School,Public,Chandler,85225,08 - 12,"3,184",20.8:1,"185th out of 26,089",8th out of 659,"1,699",53%,"9,751",51%,"1,485",47%,"9,426",49%,"1,460",46%,"4,578",24%,"1,088",34%,"11,040",58%,323,10%,"1,275",7%,193,6%,"1,615",8%,59,2%,322,2%,56,2%,324,2%,5,0%,23,0%,"1,656",(52%),"14,674",77%,"1,371",(43%),"3,951",21%,157,(5%),552,3%,"{'Chandler Online Academy': '1 miles', 'Arizona College Prep Erie Campus': '2 miles', 'Willis Junior High School': '2 miles', 'Seton Catholic Preparatory High School': '3 miles', 'Mesquite High School': '3 miles', 'Bogle Junior High School': '4 miles', 'Hamilton High School': '4 miles', 'Mesquite Jr High School': '4 miles', 'South Valley Junior High School': '4 miles', 'Tri-City Christian Academy': '4 miles'}"
Chandler Online Academy,Public,Chandler,85225,07 - 12,179,89.5:1,"17,850th out of 26,089",329th out of 659,110,61%,"9,426",49%,69,39%,"9,751",51%,139,78%,"11,040",58%,27,15%,"4,578",24%,7,4%,"1,615",8%,4,2%,"1,275",7%,2,1%,324,2%,0,0%,23,0%,0,0%,322,2%,166,(93%),"14,674",77%,10,(6%),"3,951",21%,3,(2%),552,3%,"{'Chandler High School': '1 miles', 'Arizona College Prep Erie Campus': '1 miles', 'Seton Catholic Preparatory High School': '2 miles', 'Willis Junior High School': '2 miles', 'Mesquite High School': '3 miles', 'Dobson High School': '4 miles', 'Bogle Junior High School': '4 miles', 'Mesquite Jr High School': '4 miles', 'Tri-City Christian Academy': '4 miles', 'Hamilton High School': '5 miles'}"
Great Hearts Academies - Archway Chandler,Public,Chandler,85224,KG - 12,519,-1:1,Unranked,Unknown,263,51%,263,51%,256,49%,256,49%,290,56%,290,56%,90,17%,90,17%,66,13%,66,13%,44,8%,44,8%,27,5%,27,5%,1,0%,1,0%,1,0%,1,0%,,,519,100%,,,0,0%,,,0,0%,"{'Chandler Online Academy': '2 miles', 'Arizona College Prep Erie Campus': '2 miles', 'Seton Catholic Preparatory High School': '2 miles', 'Chandler High School': '2 miles', 'Mesquite High School': '2 miles', 'Dobson High School': '3 miles', 'Willis Junior High School': '4 miles', 'Rhodes Junior High School': '4 miles', 'Mesa Transitional Learning Center': '4 miles', 'Mesquite Jr High School': '4 miles'}"
Great Hearts Academies - Chandler Prep,Public,Chandler,85225,KG - 12,711,-1:1,"8,171st out of 26,089",163rd out of 659,404,57%,404,57%,307,43%,307,43%,450,63%,450,63%,109,15%,109,15%,88,12%,88,12%,35,5%,35,5%,26,4%,26,4%,2,0%,2,0%,1,0%,1,0%,,,711,100%,,,0,0%,,,0,0%,"{'Chandler Online Academy': '2 miles', 'Arizona College Prep Erie Campus': '2 miles', 'Seton Catholic Preparatory High School': '2 miles', 'Chandler High School': '2 miles', 'Mesquite High School': '2 miles', 'Dobson High School': '3 miles', 'Willis Junior High School': '4 miles', 'Rhodes Junior High School': '4 miles', 'Mesa Transitional Learning Center': '4 miles', 'Mesquite Jr High School': '4 miles'}"
Great Hearts Academies - Lincoln Prep,Public,Chandler,85286,06 - 09,166,-1:1,Unranked,Unknown,90,54%,90,54%,76,46%,76,46%,90,54%,90,54%,32,19%,32,19%,21,13%,21,13%,16,10%,16,10%,6,4%,6,4%,1,1%,1,1%,0,0%,0,0%,,,166,100%,,,0,0%,,,0,0%,"{'Campo Verde High School': '2 miles', 'Willis Junior High School': '3 miles', 'Perry High School': '3 miles', 'South Valley Junior High School': '3 miles', 'Santan Junior High School': '4 miles', 'Hamilton High School': '4 miles', 'Chandler High School': '4 miles', 'Basha High School': '5 miles', 'Chandler Online Academy': '5 miles', 'Bogle Junior High School': '5 miles'}"
Hamilton High School,Public,Chandler,85248,09 - 12,"3,840",20:1,"64th out of 26,089",1st out of 659,"1,922",50%,"9,426",49%,"1,918",50%,"9,751",51%,"1,940",51%,"11,040",58%,839,22%,"4,578",24%,560,15%,"1,615",8%,308,8%,"1,275",7%,107,3%,322,2%,82,2%,324,2%,4,0%,23,0%,"2,999",(78%),"14,674",77%,754,(20%),"3,951",21%,87,(2%),552,3%,"{'Bogle Junior High School': '2 miles', 'Santan Junior High School': '3 miles', 'Tri-City Christian Academy': '3 miles', 'Willis Junior High School': '4 miles', 'Chandler High School': '4 miles', 'Arizona College Prep Erie Campus': '5 miles', 'Chandler Online Academy': '5 miles', 'Campo Verde High School': '6 miles', 'Basha High School': '6 miles', 'Perry High School': '6 miles'}"
Intelli-School,Public,Chandler,85225,09 - 12,81,-1:1,"21,252nd out of 26,089",431st out of 659,44,54%,44,54%,37,46%,37,46%,53,65%,53,65%,16,20%,16,20%,4,5%,4,5%,4,5%,4,5%,3,4%,3,4%,1,1%,1,1%,0,0%,0,0%,47,(58%),47,58%,22,(27%),22,27%,12,(15%),12,15%,"{'Mesquite High School': '2 miles', 'Chandler High School': '2 miles', 'Arizona College Prep Erie Campus': '2 miles', 'Chandler Online Academy': '2 miles', 'Mesquite Jr High School': '3 miles', 'Seton Catholic Preparatory High School': '3 miles', 'Willis Junior High School': '3 miles', 'Dobson High School': '3 miles', 'Mesa Transitional Learning Center': '4 miles', 'Rhodes Junior High School': '4 miles'}"
Kaizen Education Foundation Dba El Dorado High School,Public,Chandler,85224,09 - 12,139,-1:1,"19,037th out of 26,089",354th out of 659,83,60%,180,54%,56,40%,152,46%,87,63%,230,69%,26,19%,50,15%,22,16%,41,12%,3,2%,5,2%,1,1%,3,1%,0,0%,0,0%,0,0%,3,1%,91,(65%),250,75%,32,(23%),53,16%,16,(12%),29,9%,"{'Mesquite High School': '1 miles', 'Chandler Online Academy': '2 miles', 'Mesquite Jr High School': '3 miles', 'Mesa Transitional Learning Center': '3 miles', 'Seton Catholic Preparatory High School': '3 miles', 'Arizona College Prep Erie Campus': '3 miles', 'Chandler High School': '3 miles', 'Dobson High School': '3 miles', 'Rhodes Junior High School': '4 miles', 'Willis Junior High School': '4 miles'}"
