School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
Raymond S. Kellis,Public,Glendale,85305,09 - 12,"1,858",21.1:1,"2,004th out of 26,089",69th out of 659,939,51%,"6,444",52%,919,49%,"6,020",48%,936,50%,"3,920",31%,631,34%,"6,962",56%,131,7%,650,5%,77,4%,379,3%,56,3%,399,3%,22,1%,110,1%,5,0%,44,0%,914,(49%),"8,213",66%,772,(42%),"3,459",28%,172,(9%),792,6%,"{'Independence High School': '3 miles', 'Copper Canyon High School': '3 miles', 'Peoria High School': '3 miles', 'Peoria Flex Academy': '3 miles', 'Glendale High School': '4 miles', 'Westview High School': '5 miles', 'Trevor Browne High School': '5 miles', 'Centennial High School': '5 miles', 'Ironwood High School': '6 miles', 'High-Star Center for Children': '7 miles'}"
Sandra Day O'Connor High School,Public,Glendale,85310,09 - 12,"2,438",23.1:1,"735th out of 26,089",29th out of 659,"1,227",50%,"6,824",51%,"1,211",50%,"6,530",49%,"1,798",74%,"9,254",69%,338,14%,"2,547",19%,130,5%,518,4%,78,3%,496,4%,69,3%,384,3%,19,1%,114,1%,6,0%,41,0%,"2,156",(88%),"9,929",74%,210,(9%),"2,700",20%,72,(3%),725,5%,"{'Deer Valley Middle School': '3 miles', 'Barry Goldwater High School': '4 miles', 'Arrowhead Christian Academy': '4 miles', 'Vista Peak': '5 miles', 'Hillcrest Middle School': '5 miles', 'Deer Valley High School': '5 miles', 'Mountain Ridge High School': '5 miles', 'Desert Sky Middle School': '6 miles', 'Northwest Christian School': '6 miles', 'Mountain Trail Middle School': '7 miles'}"
Sunflower School,Public,Glendale,85306,PK - 12,40,6.7:1,"23,116th out of 26,089",486th out of 659,22,55%,"6,020",48%,18,45%,"6,444",52%,17,43%,"3,920",31%,14,35%,"6,962",56%,3,8%,650,5%,3,8%,379,3%,2,5%,399,3%,1,3%,44,0%,0,0%,110,1%,19,(48%),"8,213",66%,18,(45%),"3,459",28%,3,(8%),792,6%,"{'Cactus High School': '2 miles', 'Desert Sky Middle School': '2 miles', 'Gary K. Herberger Young Scholars Academy': '2 miles', 'Northwest Christian School': '2 miles', 'Greenway High School': '2 miles', 'Deer Valley High School': '2 miles', 'Ironwood High School': '3 miles', 'Desert Foothills Middle School': '3 miles', 'Arrowhead Christian Academy': '3 miles', 'Centennial High School': '4 miles'}"
Vision Christian Academy,Private,Glendale,85307,PK - 12,37,6:1,"5,931st out of 7,602",57th out of 74,20,54%,"3,309",47%,17,46%,"3,701",53%,21,68%,"4,129",62%,9,29%,"1,467",22%,1,3%,311,5%,0,0%,17,0%,0,0%,351,5%,0,0%,346,5%,0,0%,86,1%,,,,,,,,,,,,,"{'Millennium High School': '4 miles', 'Dysart High School': '5 miles', 'Westview High School': '5 miles', 'Copper Canyon High School': '6 miles', 'Raymond S. Kellis': '6 miles', 'Agua Fria High School': '7 miles', 'Valley Vista High School': '7 miles', 'Desert Edge High School': '8 miles', 'Peoria High School': '8 miles', 'Sierra Linda High School': '8 miles'}"
West-Mec - Apollo High School,Public,Glendale,85302,09 - 12,4,-1:1,"25,615th out of 26,089",594th out of 659,2,50%,183,43%,2,50%,238,57%,2,50%,186,44%,2,50%,29,7%,0,0%,10,2%,0,0%,2,0%,0,0%,182,43%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Apollo High School': '1 miles', 'Palo Verde Middle School': '1 miles', 'Accel': '3 miles', 'High-Star Center for Children': '3 miles', 'Glendale High School': '3 miles', 'Metrocenter Academy': '3 miles', 'Cortez High School': '3 miles', 'Moon Valley High School': '4 miles', 'Washington High School': '4 miles', 'Alhambra High School': '4 miles'}"
West-Mec - Cactus High School,Public,Glendale,85306,09 - 12,9,-1:1,"25,171st out of 26,089",564th out of 659,6,67%,238,57%,3,33%,183,43%,5,56%,182,43%,4,44%,186,44%,0,0%,10,2%,0,0%,2,0%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Cactus High School': '1 miles', 'Ironwood High School': '2 miles', 'Greenway High School': '3 miles', 'Northwest Christian School': '3 miles', 'Gary K. Herberger Young Scholars Academy': '3 miles', 'Deer Valley High School': '3 miles', 'Centennial High School': '3 miles', 'Desert Sky Middle School': '3 miles', 'Peoria Flex Academy': '4 miles', 'Desert Foothills Middle School': '4 miles'}"
West-Mec - Central Campus,Public,Glendale,85308,09 - 12,223,10.8:1,"16,619th out of 26,089",290th out of 659,131,59%,238,57%,92,41%,183,43%,112,50%,186,44%,94,42%,182,43%,10,4%,29,7%,4,2%,7,2%,1,0%,10,2%,1,0%,2,0%,1,0%,5,1%,,,421,100%,,,0,0%,,,0,0%,"{'Maryvale High School': '2 miles', 'Alhambra High School': '2 miles', 'Bourgade Catholic High School': '3 miles', 'High-Star Center for Children': '3 miles', 'Bostrom Alternative Center': '3 miles', 'Southwest Key Transitional Learning Center': '3 miles', 'Trevor Browne High School': '4 miles', 'Carl Hayden High School': '4 miles', 'Glendale High School': '4 miles', 'Palo Verde Middle School': '4 miles'}"
West-Mec - Copper Canyon High School,Public,Glendale,85305,09 - 12,6,-1:1,"25,423rd out of 26,089",576th out of 659,5,83%,183,43%,1,17%,238,57%,5,83%,186,44%,1,17%,29,7%,0,0%,10,2%,0,0%,2,0%,0,0%,182,43%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Copper Canyon High School': '1 miles', 'Raymond S. Kellis': '3 miles', 'Independence High School': '3 miles', 'Westview High School': '3 miles', 'Trevor Browne High School': '3 miles', 'Glendale High School': '5 miles', 'Sierra Linda High School': '5 miles', 'Tolleson Union High School': '5 miles', 'University High School': '5 miles', 'Maryvale High School': '5 miles'}"
West-Mec - Deer Valley High School,Public,Glendale,85308,09 - 12,1,-1:1,"25,948th out of 26,089",630th out of 659,1,100%,183,43%,0,0%,238,57%,1,100%,182,43%,0,0%,10,2%,0,0%,2,0%,0,0%,186,44%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Deer Valley High School': '1 miles', 'Desert Sky Middle School': '1 miles', 'Northwest Christian School': '2 miles', 'Arrowhead Christian Academy': '2 miles', 'Cactus High School': '3 miles', 'Greenway High School': '3 miles', 'Desert Foothills Middle School': '4 miles', 'Mountain Ridge High School': '4 miles', 'Barry Goldwater High School': '4 miles', 'Deer Valley Middle School': '4 miles'}"
West-Mec - Glendale High School,Public,Glendale,85301,09 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Glendale High School': '1 miles', 'Independence High School': '2 miles', 'High-Star Center for Children': '3 miles', 'Palo Verde Middle School': '3 miles', 'Apollo High School': '3 miles', 'Peoria Flex Academy': '4 miles', 'West-Mec - Central Campus': '4 miles', 'Maryvale High School': '4 miles', 'Raymond S. Kellis': '4 miles', 'Alhambra High School': '4 miles'}"
